level,episode_idx,episode,type,moves,target_score,goal_text,goal_icons,goal_nums,difficulty,difficulty_rank,remarks
214,15,Sweet_Surprise,Order,18,75000,: 162 : 162 : 162,Multilayered frosting 2024 FTUE order.png|Bluecandy order.png|Purplecandy order.png,162|162|162,Very hard,7,
215,15,Sweet_Surprise,Ingredients,24,25000,: 4,Gummi Dragon order.png,4,Medium,4,
216,16,Crunchy_Castle,Mixed,20,50000,: 12 : 24 : 45,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Multilayered frosting 2024 FTUE order.png,12|24|45,Very easy,1,Former introduction of candy cannonsUnofficially the first mixed mode level due to redesigning
217,16,Crunchy_Castle,Mixed,18,120000,: 35 : 26 : 26 : 20,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Multilayered frosting 2024 FTUE order.png|Chocolate order.png,35|26|26|20,Easy,2,
218,16,Crunchy_Castle,Ingredients,16,25000,: 9,Gummi Dragon order.png,9,Very easy,1,
219,16,Crunchy_Castle,Mixed,17,100000,: 63 : 13,Double jelly-removebg-preview.png|Chocolate order.png,63|13,Medium,4,
220,16,Crunchy_Castle,Jelly,21,122000,: 65,Double jelly-removebg-preview.png,65,Extremely hard,8,
221,16,Crunchy_Castle,Order,28,5000,: 18 : 25,Candy Bomb order 2.png|Liquorice Swirl order.png,18|25,Somewhat hard,5,
222,16,Crunchy_Castle,Ingredients,20,20000,: 2,Gummi Dragon order.png,2,Medium,4,
223,16,Crunchy_Castle,Mixed,20,120000,: 58 : 40,Double jelly-removebg-preview.png|Liquorice Swirl order.png,58|40,Somewhat easy,3,
224,16,Crunchy_Castle,Jelly,21,128000,: 64,Double jelly-removebg-preview.png,64,Somewhat hard,5,
225,16,Crunchy_Castle,Order,17,10000,: 70 : 22 : 22,Multilayered frosting 2024 FTUE order.png|Liquorice Swirl order.png|Chocolate order.png,70|22|22,Extremely hard,8,
226,16,Crunchy_Castle,Ingredients,18,50000,: 9,Gummi Dragon order.png,9,Hard,6,
227,16,Crunchy_Castle,Mixed,22,50000,: 32 : 46 : 46,Double jelly-removebg-preview.png|Multilayered frosting 2024 FTUE order.png|Liquorice Swirl order.png,32|46|46,Hard,6,
228,16,Crunchy_Castle,Jelly,17,50000,: 54,Double jelly-removebg-preview.png,54,Hard,6,
229,16,Crunchy_Castle,Ingredients,20,20000,: 2,Gummi Dragon order.png,2,Somewhat easy,3,
230,16,Crunchy_Castle,Order,25,15000,: 90 : 20,Multilayered frosting 2024 FTUE order.png|Liquorice Swirl order.png,90|20,Hard,6,
231,17,Chocolate_Barn,Jelly,21,132000,: 68,Double jelly-removebg-preview.png,68,Medium,4,Former introduction of
232,17,Chocolate_Barn,Order,22,40000,: 14 : 24,Liquorice Swirl order.png|Chocolate order.png,14|24,Somewhat easy,3,
233,17,Chocolate_Barn,Ingredients,15,50000,: 7,Gummi Dragon order.png,7,Very easy,1,
234,17,Chocolate_Barn,Order,19,5700,: 3 : 32 : 4,Color bomb (trans).png|Multilayered frosting 2024 FTUE order.png|Chocolate order.png,3|32|4,Hard,6,
235,17,Chocolate_Barn,Jelly,21,100000,: 72,Double jelly-removebg-preview.png,72,Very hard,7,
236,17,Chocolate_Barn,Order,15,2000,: 34,Liquorice Swirl order.png,34,Very easy,1,
237,17,Chocolate_Barn,Ingredients,24,50000,: 36,Gummi Dragon order.png,36,Very easy,1,
238,17,Chocolate_Barn,Mixed,15,50000,: 55 : 20,Double jelly-removebg-preview.png|Liquorice Swirl order.png,55|20,Easy,2,
239,17,Chocolate_Barn,Jelly,23,100000,: 73,Double jelly-removebg-preview.png,73,Somewhat hard,5,
240,17,Chocolate_Barn,Order,16,20000,: 114,Multilayered frosting 2024 FTUE order.png,114,Extremely hard,8,
241,17,Chocolate_Barn,Ingredients,24,70000,: 7,Gummi Dragon order.png,7,Medium,4,
242,17,Chocolate_Barn,Mixed,26,70000,: 35 : 40,Double jelly-removebg-preview.png|Multilayered frosting 2024 FTUE order.png,35|40,Very easy,1,
243,17,Chocolate_Barn,Jelly,20,50000,: 43,Double jelly-removebg-preview.png,43,Somewhat hard,5,
244,17,Chocolate_Barn,Ingredients,16,10000,: 6,Gummi Dragon order.png,6,Easy,2,
245,17,Chocolate_Barn,Order,19,8300,: 63 : 13 : 11,Multilayered frosting 2024 FTUE order.png|Chocolate order.png|Liquorice Swirl order.png,63|13|11,Very hard,7,
246,18,Delicious_Drifts,Mixed,20,50000,: 59 : 13,Double jelly-removebg-preview.png|Jelly Fish order 2.png,59|13,Somewhat easy,3,
247,18,Delicious_Drifts,Jelly,22,50000,: 58,Double jelly-removebg-preview.png,58,Somewhat hard,5,
248,18,Delicious_Drifts,Ingredients,19,20000,: 11,Gummi Dragon order.png,11,Somewhat hard,5,
249,18,Delicious_Drifts,Order,20,4000,: 96,Icing order new.png,96,Medium,4,
250,18,Delicious_Drifts,Mixed,22,100000,: 73 : 91,Double jelly-removebg-preview.png|Icing order new.png,73|91,Extremely hard,8,
251,18,Delicious_Drifts,Jelly,16,20000,: 32,Double jelly-removebg-preview.png,32,Very easy,1,
252,18,Delicious_Drifts,Ingredients,22,180000,: 25,Gummi Dragon order.png,25,Somewhat hard,5,"Used to be possible to be played forever, millions of points could be achievedIt was a timed level with only four colour"
253,18,Delicious_Drifts,Mixed,15,122800,: 32 : 37 : 72,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Icing order new.png,32|37|72,Somewhat easy,3,
254,18,Delicious_Drifts,Jelly,17,88000,: 57,Double jelly-removebg-preview.png,57,Very hard,7,
255,18,Delicious_Drifts,Mixed,16,120000,: 24 : 45 : 105,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Icing order new.png,24|45|105,Nearly impossible,9,
256,18,Delicious_Drifts,Jelly,15,115000,: 7 : 54,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,7|54,Somewhat easy,3,
257,18,Delicious_Drifts,Ingredients,19,50000,: 6,Gummi Dragon order.png,6,Easy,2,
258,18,Delicious_Drifts,Order,15,2000,: 24,Chocolate order.png,24,Very easy,1,
259,18,Delicious_Drifts,Jelly,18,50000,: 16 : 21,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,16|21,Hard,6,
260,18,Delicious_Drifts,Mixed,16,90000,: 62 : 107,Double jelly-removebg-preview.png|Icing order new.png,62|107,Very hard,7,
261,19,Holiday_Hut,Order,15,6300,: 14 : 65,Bubblegum Pop order.png|Icing order new.png,14|65,Very easy,1,Former introduction of ; now unofficial introduction of
262,19,Holiday_Hut,Jelly,23,100000,: 17 : 56,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,17|56,Medium,4,
263,19,Holiday_Hut,Ingredients,19,25000,: 6,Gummi Dragon order.png,6,Somewhat easy,3,
264,19,Holiday_Hut,Mixed,19,60000,: 54 : 7,Double jelly-removebg-preview.png|Jelly Fish order 2.png,54|7,Somewhat hard,5,
265,19,Holiday_Hut,Jelly,21,106000,: 53,Double jelly-removebg-preview.png,53,Very hard,7,100th level
266,19,Holiday_Hut,Ingredients,21,25000,: 4,Gummi Dragon order.png,4,Hard,6,Unofficially the first level with custom bomb value
267,19,Holiday_Hut,Order,17,40000,: 26 : 45,Bubblegum Pop order.png|Liquorice Swirl order.png,26|45,Somewhat hard,5,
268,19,Holiday_Hut,Jelly,16,50000,: 3 : 58,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,3|58,Hard,6,
269,19,Holiday_Hut,Mixed,23,123600,: 16 : 53 : 20,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Wrapped2 (trans).png,16|53|20,Hard,6,
270,19,Holiday_Hut,Order,19,13200,: 90 : 90,Icing order new.png|Bluecandy order.png,90|90,Extremely hard,8,
271,19,Holiday_Hut,Ingredients,17,20000,: 6,Gummi Dragon order.png,6,Easy,2,
272,19,Holiday_Hut,Jelly,18,70000,: 49,Double jelly-removebg-preview.png,49,Medium,4,
273,19,Holiday_Hut,Order,19,5800,: 12 : 46,Bubblegum Pop order.png|Icing order new.png,12|46,Somewhat hard,5,
274,19,Holiday_Hut,Mixed,25,50000,: 45 : 110,Double jelly-removebg-preview.png|Liquorice Swirl order.png,45|110,Somewhat easy,3,
275,19,Holiday_Hut,Jelly,20,50000,: 77,Double jelly-removebg-preview.png,77,Very hard,7,
276,20,Candy_Clouds_(Episode_20),Order,20,10000,: 80 : 40,Bubblegum Pop order.png|Liquorice Swirl order.png,80|40,Easy,2,Former introduction of ; now unofficial introduction of
277,20,Candy_Clouds_(Episode_20),Jelly,21,50000,: 65,Double jelly-removebg-preview.png,65,Medium,4,
278,20,Candy_Clouds_(Episode_20),Ingredients,16,70000,: 7,Gummi Dragon order.png,7,Hard,6,
279,20,Candy_Clouds_(Episode_20),Mixed,20,113900,: 57 : 75,Double jelly-removebg-preview.png|Bubblegum Pop order.png,57|75,Somewhat hard,5,
280,20,Candy_Clouds_(Episode_20),Jelly,25,110000,: 74,Double jelly-removebg-preview.png,74,Medium,4,
281,20,Candy_Clouds_(Episode_20),Order,17,10000,: 19 : 19,Liquorice Swirl order.png|Icing order new.png,19|19,Somewhat easy,3,Unofficial introduction of
282,20,Candy_Clouds_(Episode_20),Ingredients,16,50000,: 10,Gummi Dragon order.png,10,Somewhat hard,5,
283,20,Candy_Clouds_(Episode_20),Mixed,15,59400,: 54 : 50,Single jelly-removebg-preview (1).png|Icing order new.png,54|50,Hard,6,
284,20,Candy_Clouds_(Episode_20),Jelly,16,110000,: 59,Double jelly-removebg-preview.png,59,Extremely hard,8,
285,20,Candy_Clouds_(Episode_20),Order,20,12100,: 48,Icing order new.png,48,Somewhat hard,5,
286,20,Candy_Clouds_(Episode_20),Ingredients,20,10000,: 4,Gummi Dragon order.png,4,Hard,6,
287,20,Candy_Clouds_(Episode_20),Mixed,23,75000,: 12 : 52 : 8,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Jelly Fish order 2.png,12|52|8,Hard,6,
288,20,Candy_Clouds_(Episode_20),Order,15,17000,: 30 : 30,Liquorice Swirl order.png|Bubblegum Pop order.png,30|30,Easy,2,
289,20,Candy_Clouds_(Episode_20),Ingredients,21,70000,: 8,Gummi Dragon order.png,8,Somewhat hard,5,
290,20,Candy_Clouds_(Episode_20),Jelly,25,50000,: 81,Double jelly-removebg-preview.png,81,Nearly impossible,9,Last Reality level that was released in 2012
291,21,Jelly_Jungle,Order,15,10000,: 83,Bubblegum Pop order.png,83,Very easy,1,First Reality level that was released in 2013Unofficial introduction of
292,21,Jelly_Jungle,Jelly,22,100000,: 33 : 40,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,33|40,Easy,2,
293,21,Jelly_Jungle,Ingredients,16,50000,: 5,Gummi Dragon order.png,5,Somewhat easy,3,
294,21,Jelly_Jungle,Mixed,25,136500,: 58 : 65,Double jelly-removebg-preview.png|Liquorice Swirl order.png,58|65,Extremely hard,8,
295,21,Jelly_Jungle,Order,18,50000,: 75 : 15,Multilayered frosting 2024 FTUE order.png|Bubblegum Pop order.png,75|15,Very hard,7,
296,21,Jelly_Jungle,Ingredients,21,60000,: 6,Gummi Dragon order.png,6,Medium,4,
297,21,Jelly_Jungle,Jelly,19,80000,: 57,Double jelly-removebg-preview.png,57,Hard,6,
298,21,Jelly_Jungle,Order,19,5000,: 35 : 35,Chocolate order.png|Bubblegum Pop order.png,35|35,Somewhat hard,5,
299,21,Jelly_Jungle,Mixed,26,50000,: 42 : 40,Double jelly-removebg-preview.png|Liquorice Swirl order.png,42|40,Easy,2,
300,21,Jelly_Jungle,Jelly,23,50000,: 81,Double jelly-removebg-preview.png,81,Nearly impossible,9,The 3rd milestone level in Reality
301,21,Jelly_Jungle,Ingredients,22,510000,: 51,Gummi Dragon order.png,51,Somewhat easy,3,"The level with the most ingredients needed, 51."
302,21,Jelly_Jungle,Order,20,15400,: 145,Bubblegum Pop order.png,145,Hard,6,
303,21,Jelly_Jungle,Jelly,20,50000,: 61,Double jelly-removebg-preview.png,61,Hard,6,
304,21,Jelly_Jungle,Order,21,5000,: 24 : 24,Liquorice Swirl order.png|Chocolate order.png,24|24,Medium,4,
305,21,Jelly_Jungle,Mixed,15,131000,: 60 : 76 : 50,Double jelly-removebg-preview.png|Multilayered frosting 2024 FTUE order.png|Bubblegum Pop order.png,60|76|50,Nearly impossible,9,Used to be one of the hardest levels in World 4 (Flash)
306,22,Savory_Shores,Ingredients,15,20000,: 2,Gummi Dragon order.png,2,Very easy,1,Former introduction of
307,22,Savory_Shores,Jelly,22,125000,: 5 : 60,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,5|60,Easy,2,
308,22,Savory_Shores,Jelly,27,81000,: 19 : 31,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,19|31,Easy,2,
309,22,Savory_Shores,Mixed,19,112000,: 50 : 142,Double jelly-removebg-preview.png|Icing order new.png,50|142,Very hard,7,
310,22,Savory_Shores,Order,17,9700,: 80 : 28,Icing order new.png|Liquorice Swirl order.png,80|28,Nearly impossible,9,
311,22,Savory_Shores,Jelly,20,76000,: 4 : 36,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,4|36,Somewhat easy,3,Considered the hardest level in the entire game until it was nerfed
312,22,Savory_Shores,Mixed,21,117000,: 54 : 85 : 43,Double jelly-removebg-preview.png|Icing order new.png|Bubblegum Pop order.png,54|85|43,Hard,6,
313,22,Savory_Shores,Ingredients,26,60000,: 16,Gummi Dragon order.png,16,Somewhat hard,5,
314,22,Savory_Shores,Order,19,50000,: 100,Bubblegum Pop order.png,100,Medium,4,Formerly a near-exact replica of level 67
315,22,Savory_Shores,Jelly,16,126000,: 4 : 61,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,4|61,Very hard,7,
316,22,Savory_Shores,Mixed,15,25000,: 53 : 28,Double jelly-removebg-preview.png|Liquorice Swirl order.png,53|28,Hard,6,This level used to have a bug and was reported to King
317,22,Savory_Shores,Order,28,70000,: 90 : 35,Icing order new.png|Liquorice Swirl order.png,90|35,Somewhat hard,5,
318,22,Savory_Shores,Ingredients,19,20000,: 4,Gummi Dragon order.png,4,Medium,4,
319,22,Savory_Shores,Jelly,22,136000,: 68,Double jelly-removebg-preview.png,68,Very easy,1,
320,22,Savory_Shores,Order,20,30000,: 80 : 100,Icing order new.png|Bubblegum Pop order.png,80|100,Extremely hard,8,Almost an exact replica of level 65
321,23,Munchy_Monolith,Ingredients,21,100000,: 25,Gummi Dragon order.png,25,Easy,2,
322,23,Munchy_Monolith,Jelly,21,120000,: 72,Double jelly-removebg-preview.png,72,Very hard,7,
323,23,Munchy_Monolith,Order,15,1300,: 16,Yellowcandy order.png,16,Somewhat hard,5,100th level
324,23,Munchy_Monolith,Mixed,18,103000,: 64 : 14,Icing order new.png|Liquorice Swirl order.png,64|14,Hard,6,
325,23,Munchy_Monolith,Jelly,19,144000,: 72,Double jelly-removebg-preview.png,72,Extremely hard,8,
326,23,Munchy_Monolith,Ingredients,17,60000,: 6,Gummi Dragon order.png,6,Medium,4,
327,23,Munchy_Monolith,Order,23,10000,: 22 : 24,Liquorice Swirl order.png|Bubblegum Pop order.png,22|24,Somewhat easy,3,
328,23,Munchy_Monolith,Mixed,15,50000,: 51 : 50,Double jelly-removebg-preview.png|Orangecandy order.png,51|50,Hard,6,
329,23,Munchy_Monolith,Jelly,18,122000,: 61,Double jelly-removebg-preview.png,61,Hard,6,
330,23,Munchy_Monolith,Order,15,9500,: 117 : 135,Icing order new.png|Bubblegum Pop order.png,117|135,Extremely hard,8,
331,23,Munchy_Monolith,Ingredients,20,100000,: 33,Gummi Dragon order.png,33,Somewhat hard,5,
332,23,Munchy_Monolith,Mixed,17,179000,: 69 : 72 : 90,Double jelly-removebg-preview.png|Bubblegum Pop order.png|Icing order new.png,69|72|90,Extremely hard,8,
333,23,Munchy_Monolith,Jelly,23,116000,: 8 : 54,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,8|54,Hard,6,
334,23,Munchy_Monolith,Order,17,10000,: 140,Icing order new.png,140,Medium,4,
335,23,Munchy_Monolith,Mixed,19,50000,: 75 : 20,Double jelly-removebg-preview.png|Jelly Fish order 2.png,75|20,Nearly impossible,9,
336,24,Pearly_White_Plains,Jelly,15,25000,: 46,Double jelly-removebg-preview.png,46,Easy,2,
337,24,Pearly_White_Plains,Order,16,18400,: 184,Icing order new.png,184,Somewhat hard,5,
338,24,Pearly_White_Plains,Mixed,16,56000,: 25 : 50,Double jelly-removebg-preview.png|Greencandy order.png,25|50,Medium,4,
339,24,Pearly_White_Plains,Ingredients,22,15000,: 4,Gummi Dragon order.png,4,Hard,6,
340,24,Pearly_White_Plains,Jelly,17,100000,: 77,Double jelly-removebg-preview.png,77,Nearly impossible,9,
341,24,Pearly_White_Plains,Order,15,50000,: 100,Bubblegum Pop order.png,100,Hard,6,
342,24,Pearly_White_Plains,Mixed,24,75000,: 52 : 10,Double jelly-removebg-preview.png|Jelly Fish order 2.png,52|10,Somewhat hard,5,
343,24,Pearly_White_Plains,Ingredients,21,100000,: 10,Gummi Dragon order.png,10,Hard,6,
344,24,Pearly_White_Plains,Jelly,16,100000,: 54,Double jelly-removebg-preview.png,54,Hard,6,
345,24,Pearly_White_Plains,Order,18,15000,: 80 : 86,Bubblegum Pop order.png|Icing order new.png,80|86,Nearly impossible,9,
346,24,Pearly_White_Plains,Mixed,16,50000,: 50,Double jelly-removebg-preview.png,50,Somewhat hard,5,
347,24,Pearly_White_Plains,Jelly,20,150000,: 70,Double jelly-removebg-preview.png,70,Somewhat hard,5,
348,24,Pearly_White_Plains,Ingredients,20,60000,: 10,Gummi Dragon order.png,10,Hard,6,
349,24,Pearly_White_Plains,Order,19,35400,: 227 : 120,Bubblegum Pop order.png|Redcandy order.png,227|120,Very hard,7,
350,24,Pearly_White_Plains,Mixed,19,50000,: 72 : 10,Double jelly-removebg-preview.png|Jelly Fish order 2.png,72|10,Extremely hard,8,Used to be the hardest level in the game until it got nerfed
351,25,Fudge_Islands,Order,16,3600,: 36,One-layered Toffee Swirl.png,36,Very easy,1,The level's shape is similar to that of level 29
352,25,Fudge_Islands,Order,25,6400,: 68,One-layered Toffee Swirl.png,68,Easy,2,
353,25,Fudge_Islands,Mixed,29,132600,: 16 : 58 : 27,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|One-layered Toffee Swirl.png,16|58|27,Somewhat easy,3,
354,25,Fudge_Islands,Jelly,15,147000,: 31 : 38,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,31|38,Extremely hard,8,
355,25,Fudge_Islands,Order,20,10000,: 120 : 70,Multilayered frosting 2024 FTUE order.png|Candy Bomb order 2.png,120|70,Very hard,7,
356,25,Fudge_Islands,Ingredients,23,90000,: 9,Gummi Dragon order.png,9,Medium,4,
357,25,Fudge_Islands,Order,19,71000,: 45 : 26,Bubblegum Pop order.png|Liquorice Swirl order.png,45|26,Extremely hard,8,
358,25,Fudge_Islands,Mixed,23,50000,: 57 : 10,Double jelly-removebg-preview.png|Jelly Fish order 2.png,57|10,Somewhat hard,5,
359,25,Fudge_Islands,Ingredients,18,20000,: 3,Gummi Dragon order.png,3,Medium,4,
360,25,Fudge_Islands,Jelly,16,118000,: 59,Double jelly-removebg-preview.png,59,Very hard,7,
361,25,Fudge_Islands,Mixed,15,50000,: 31 : 31,Double jelly-removebg-preview.png|Yellowcandy order.png,31|31,Very easy,1,
362,25,Fudge_Islands,Order,19,7300,: 78,One-layered Toffee Swirl.png,78,Hard,6,
363,25,Fudge_Islands,Mixed,21,100000,: 58 : 26,Double jelly-removebg-preview.png|Liquorice Swirl order.png,58|26,Medium,4,
364,25,Fudge_Islands,Jelly,20,100000,: 69,Double jelly-removebg-preview.png,69,Very hard,7,
365,25,Fudge_Islands,Mixed,21,120000,: 42 : 50 : 70,Double jelly-removebg-preview.png|Liquorice Swirl order.png|Multilayered frosting 2024 FTUE order.png,42|50|70,Nearly impossible,9,
366,26,Pudding_Pagoda,Order,16,11700,: 90,One-layered Toffee Swirl.png,90,Very easy,1,used to be introduced here
367,26,Pudding_Pagoda,Jelly,20,200000,: 16 : 54,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png,16|54,Medium,4,
368,26,Pudding_Pagoda,Ingredients,15,20000,: 2,Gummi Dragon order.png,2,Easy,2,
369,26,Pudding_Pagoda,Jelly,18,50000,: 72,Double jelly-removebg-preview.png,72,Somewhat hard,5,
370,26,Pudding_Pagoda,Order,18,20000,: 35 : 100,Bubblegum Pop order.png|Icing order new.png,35|100,Nearly impossible,9,
371,26,Pudding_Pagoda,Ingredients,15,80000,: 2,Gummi Dragon order.png,2,Somewhat hard,5,
372,26,Pudding_Pagoda,Jelly,17,120000,: 61,Double jelly-removebg-preview.png,61,Hard,6,
373,26,Pudding_Pagoda,Order,16,6400,: 64,One-layered Toffee Swirl.png,64,Medium,4,
374,26,Pudding_Pagoda,Ingredients,15,20000,: 6,Gummi Dragon order.png,6,Hard,6,
375,26,Pudding_Pagoda,Mixed,19,18000,: 40 : 110,Double jelly-removebg-preview.png|Icing order new.png,40|110,Very hard,7,
376,26,Pudding_Pagoda,Order,21,6500,: 25 : 25,Bluecandy order.png|Chocolate order.png,25|25,Medium,4,
377,26,Pudding_Pagoda,Jelly,18,66000,: 33,Double jelly-removebg-preview.png,33,Somewhat hard,5,
378,26,Pudding_Pagoda,Mixed,21,82000,: 8 : 32 : 30,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|One-layered Toffee Swirl.png,8|32|30,Hard,6,
379,26,Pudding_Pagoda,Order,17,20000,: 40 : 60 : 70,One-layered Toffee Swirl.png|Bubblegum Pop order.png|Icing order new.png,40|60|70,Somewhat easy,3,
380,26,Pudding_Pagoda,Jelly,20,100000,: 78,Double jelly-removebg-preview.png,78,Nearly impossible,9,
381,27,Licorice_Tower,Jelly,20,62000,: 31,Double jelly-removebg-preview.png,31,Very easy,1,
382,27,Licorice_Tower,Mixed,19,119000,: 53 : 63,Double jelly-removebg-preview.png|One-layered Toffee Swirl.png,53|63,Somewhat easy,3,
383,27,Licorice_Tower,Ingredients,20,100000,: 10,Gummi Dragon order.png,10,Medium,4,
384,27,Licorice_Tower,Jelly,18,34000,: 34,Single jelly-removebg-preview (1).png,34,Hard,6,
385,27,Licorice_Tower,Order,16,6700,: 42 : 40,One-layered Toffee Swirl.png|Icing order new.png,42|40,Extremely hard,8,
386,27,Licorice_Tower,Jelly,16,142000,: 73,Double jelly-removebg-preview.png,73,Somewhat hard,5,
387,27,Licorice_Tower,Order,23,8000,: 104,Bubblegum Pop order.png,104,Somewhat hard,5,
388,27,Licorice_Tower,Mixed,29,15000,: 2 : 58 : 100,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|One-layered Toffee Swirl.png,2|58|100,Medium,4,
389,27,Licorice_Tower,Ingredients,20,25000,: 7,Gummi Dragon order.png,7,Medium,4,
390,27,Licorice_Tower,Jelly,22,50000,: 57,Double jelly-removebg-preview.png,57,Extremely hard,8,
391,27,Licorice_Tower,Order,17,2000,: 20,Liquorice Swirl order.png,20,Somewhat easy,3,
392,27,Licorice_Tower,Jelly,23,130000,: 71,Double jelly-removebg-preview.png,71,Extremely hard,8,
393,27,Licorice_Tower,Mixed,22,94200,: 46 : 22,Double jelly-removebg-preview.png|Icing order new.png,46|22,Somewhat hard,5,
394,27,Licorice_Tower,Ingredients,18,50000,: 6,Gummi Dragon order.png,6,Hard,6,
395,27,Licorice_Tower,Jelly,22,50000,: 77,Double jelly-removebg-preview.png,77,Nearly impossible,9,
396,28,Polkapalooza_(Episode_28),Mixed,20,160000,: 16 : 19 : 3,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Gummi Dragon order.png,16|19|3,Easy,2,
397,28,Polkapalooza_(Episode_28),Mixed,16,50000,: 46 : 4,Double jelly-removebg-preview.png|Gummi Dragon order.png,46|4,Easy,2,
398,28,Polkapalooza_(Episode_28),Order,17,5000,: 40 : 40 : 40,Bluecandy order.png|Greencandy order.png|Purplecandy order.png,40|40|40,Medium,4,
399,28,Polkapalooza_(Episode_28),Mixed,24,100000,: 25 : 47 : 15,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Gummi Dragon order.png,25|47|15,Hard,6,
400,28,Polkapalooza_(Episode_28),Jelly,22,50000,: 72,Double jelly-removebg-preview.png,72,Extremely hard,8,The 4th milestone level in Reality
401,28,Polkapalooza_(Episode_28),Ingredients,15,60000,: 4,Gummi Dragon order.png,4,Very easy,1,
402,28,Polkapalooza_(Episode_28),Order,17,10000,: 132,One-layered Toffee Swirl.png,132,Hard,6,
403,28,Polkapalooza_(Episode_28),Mixed,20,46000,: 36 : 17,Double jelly-removebg-preview.png|Gummi Dragon order.png,36|17,Somewhat hard,5,
404,28,Polkapalooza_(Episode_28),Mixed,16,87000,: 77 : 100,Single jelly-removebg-preview (1).png|Multilayered frosting 2024 FTUE order.png,77|100,Extremely hard,8,
405,28,Polkapalooza_(Episode_28),Order,22,11000,: 81 : 10,Multilayered frosting 2024 FTUE order.png|Striped2 (trans).png,81|10,Nearly impossible,9,
406,28,Polkapalooza_(Episode_28),Jelly,18,80000,: 47,Double jelly-removebg-preview.png,47,Hard,6,
407,28,Polkapalooza_(Episode_28),Ingredients,16,50000,: 10,Gummi Dragon order.png,10,Somewhat easy,3,
408,28,Polkapalooza_(Episode_28),Mixed,15,50000,: 74 : 5,Double jelly-removebg-preview.png|Gummi Dragon order.png,74|5,Somewhat hard,5,
409,28,Polkapalooza_(Episode_28),Jelly,24,50000,: 77,Double jelly-removebg-preview.png,77,Somewhat hard,5,
410,28,Polkapalooza_(Episode_28),Mixed,17,100000,: 66 : 80,Double jelly-removebg-preview.png|Bubblegum Pop order.png,66|80,Nearly impossible,9,
411,29,Soda_Swamp_(Episode_29),Order,20,7600,: 24 : 42,Liquorice Swirl order.png|Bubblegum Pop order.png,24|42,Easy,2,was introduced
412,29,Soda_Swamp_(Episode_29),Ingredients,18,360000,: 36,Gummi Dragon order.png,36,Very hard,7,
413,29,Soda_Swamp_(Episode_29),Mixed,19,100000,: 53 : 12,Double jelly-removebg-preview.png|Gummi Dragon order.png,53|12,Somewhat hard,5,
414,29,Soda_Swamp_(Episode_29),Mixed,18,90000,: 12 : 38 : 20,Single jelly-removebg-preview (1).png|Double jelly-removebg-preview.png|Liquorice Swirl order.png,12|38|20,Very hard,7,
415,29,Soda_Swamp_(Episode_29),Jelly,20,100000,: 81,Double jelly-removebg-preview.png,81,Nearly impossible,9,
416,29,Soda_Swamp_(Episode_29),Mixed,21,270000,: 45 : 18,Double jelly-removebg-preview.png|Gummi Dragon order.png,45|18,Medium,4,The only level in the episode that did not have toffee tornadoes up until its removal
417,29,Soda_Swamp_(Episode_29),Ingredients,15,50000,: 5,Gummi Dragon order.png,5,Hard,6,100th level
418,29,Soda_Swamp_(Episode_29),Order,18,10000,: 125,Icing order new.png,125,Easy,2,
419,29,Soda_Swamp_(Episode_29),Jelly,20,50000,: 62,Double jelly-removebg-preview.png,62,Hard,6,
420,29,Soda_Swamp_(Episode_29),Mixed,18,50000,: 72 : 8,Double jelly-removebg-preview.png|Jelly Fish order 2.png,72|8,Nearly impossible,9,
421,29,Soda_Swamp_(Episode_29),Mixed,22,94000,: 27 : 4,Double jelly-removebg-preview.png|Gummi Dragon order.png,27|4,Somewhat hard,5,
422,29,Soda_Swamp_(Episode_29),Ingredients,19,50000,: 6,Gummi Dragon order.png,6,Somewhat easy,3,
423,29,Soda_Swamp_(Episode_29),Mixed,15,10000,: 37 : 15 : 15,Double jelly-removebg-preview.png|Redcandy order.png|Yellowcandy order.png,37|15|15,Variable,,
